id,group,selection,description,driving,fixture,expected_insert,status_insert,expected_replace,status_replace,limits,notes
A0,paragraph,"[P1@x,P1@x]",curseur seul (sélection vide),auto,XXX,insère au curseur; pas de chip,pass,absent par défaut (FRAG-04); si exposé se comporte comme Insérer,na,,ne pas utiliser init() qui renverrait tout le ¶
A1,paragraph,"[P1@start,P1@end]",paragraphe entier,auto,XXX,nouveau ¶ après le ¶ courant; pas de &nbsp;,pass,remplace tout le ¶,pass,,
A2,paragraph,"[P1@mid,P1@mid]",milieu d'un mot,auto,XXX,insère au point; &nbsp; des deux côtés,pass,remplace le fragment; &nbsp; des deux côtés,pass,,"Replace sur curseur collapsed @mid = insertion au point -> ""The quick XXX brown fox""; PLUS de double espace ni ¶ vide (fix §5bis livre). L#1 (perte styles suffixe) VERIFIE NON-REPRODUCTIBLE. Golden beni verdict=pass (build .1 §5bis). Ancien xfail double-espace resolu."
A3,paragraph,"[P1@space,P1@end]",après espace -> fin,auto,XXX,nouveau ¶ en fin (@end = bord),pass,remplace; espace de tête déplacée (CommonMark); pas de &nbsp; après,pass,L6,"L6: post-sélection inline fragile (+2) CORRIGE 2026-07-16 (build .6, UAT souris Ben). Une selection PARTIELLE finissant en FIN de ¶ faite a la SOURIS inclut la marque ¶ (\r\n) dans range.GetText() -> le clip (indexOf) echouait (paraText est strippe, pas rangeText) -> clipStart=0 -> ¶ ENTIER extrait+envoye au LLM. Fix: strip du \r\n traînant de rangeText. TROU HARNAIS: setSelection (API ExpandTo) ne met PAS le \r\n -> le harnais ne pouvait pas le voir ; test de non-reg a ajouter (selection @end incluant la marque ¶, ou unit test du clip). A3/insert RE-CAPTURE 2026-07-17 : @end=bord -> NOUVEAU ¶ (regle build .2), ancien golden inline (…fox XXX) etait perime. Coherent Ac3."
A4,paragraph,"[P1@start,P1@space]","début -> mot, espace finale",auto,XXX,insère au point; pas de &nbsp; avant,pass,remplace; espace finale déplacée après le marqueur md,pass,,
A5,paragraph,"[P1@start,P3@end]",plusieurs ¶ entiers,auto,XXX,blocs insérés après P3,pass,remplace P1..P3; injection ¶ par ¶ en ordre inverse,pass,,"TESTÉ LIVE + golden 2026-06-26 (build .8, driver multi-¶ top-level via branche cross ExpandTo). Insert: 3 ¶ intacts, réponse après P3 (1er ¶ fusionné inline en fin de P3 = smart-spacing standard, 'Beta edit' nouveau ¶). Replace: P1..P3 → exactement 3 ¶. Goldens corpus/A5/{insert,replace} sur a-family."
A6,paragraph,"[P1@mid,P3@mid]",partiel -> entiers -> partiel,auto,format,insère au point; clipping text-matching,pass,remplace la plage; clipping text-matching,pass,,"MULTI-¶ (UAT 2026-07-16, build .7) : injection multi-¶ au milieu -> 1er para fusionne prefixe, DERNIER fusionne suffixe (plus de ¶ separe en fin). Fix cleanupTrailingBlockPara+appendRunsPreserving (formatage preserve). Fixture 'First\n\nSecond' sur format-family. Non-reg A1/A2/A5. POST-SELECTION CORRIGEE + BENIE (build .7) : couvre uniquement l'injecte + espaces de collage aux frontieres (start=point de fusion preSelStart comme inline A2/A4 ; end exclut le suffixe via mergedTrailingLen). Insert block2:8->block3:10, replace block0:10->block1:10. Goldens v5 benis."
A7,paragraph,"[P2@start,P4@end] avec ¶ vides",¶ vides en bord de sélection,auto,a7-empty,préserver les ¶ vides (split sur double-newline avant lexer),pass,idem,pass,,"TESTÉ LIVE + golden 2026-06-27 (build .8). Fixture a7-empty (Intro/VIDE/Middle/VIDE/Outro), sél P2@start..P4@end = vide à chaque bord. EXTRACTION préserve les vides : extMd='\n\nMiddle paragraph\n\n' (split double-newline avant lexer = cœur du cas). Insert : vide de tête préservé, l'insert remplit le ¶ vide cible (P4), blockCount=5. Replace : Intro/'New middle'/¶vide/Outro (5→4), hors-sélection intact, 1 vide résiduel (L#7). Goldens corpus/A7/{insert,replace}."
A8,paragraph,>100 ¶,sélection très grande,auto,a8-large,garde de perf: repli texte brut SI >100 ¶ TOP-LEVEL (hors cellules) ou >500 ¶ au total,pass,idem,pass,,"CORRIGE 2026-07-16 (build .5). Garde comptait AVANT range.GetAllParagraphs() (¶ de cellules INCLUS) -> un doc modeste a plusieurs tableaux (ex. fichier Ben : 25 ¶ corps + 9 tableaux = 101 ¶) depassait 100 -> md perdu au select-all. FIX: compter les ¶ TOP-LEVEL (GetParentTableCell()===null) + backstop dur >500 ¶ total. Verifie live: fichier Ben (25 top-level, 101 total) -> md preserve (mdLen 4562, titres OK) ; a8-large (120 top-level) -> garde declenchee (md='', text=1198). TODO: fixture synthetique 'table-heavy' + golden pour figer la non-regression."
T1,table,"[T1.intra(r,c),T1.intra(r,c)]",dans une seule cellule,auto,XXX,chemin paragraphe (insère dans la cellule au point),pass,chemin paragraphe (remplace le texte de la cellule),pass,,"INTRA-CELLULE regles A (V2, build .12) : insert (point de collage = fin de cellule) -> NOUVEAU ¶ apres le texte (A1/A5) ; replace -> remplace le texte. Post-selection resolue DANS la cellule (V3 dumpState). Goldens v5-intracell re-captures, verdict pending (a benir)."
